       1       835      3244
       2      1340      4018
       3      1914      4736
       4      2536      5447
       5      3101      6112
       6      3636      6734
       7      4177      7339
       8      4753      7962
       9      5305      8574
      10      5854      9191
      11      6426      9803
      12      6935     10369
      13      7475     10976
      14      8015     11578
      15      8542     12133
      16      9103     12735
      17      9645     13335
      18     10217     13959
      19     10743     14545
      20     11289     15123
      21     11799     15681
      22     12325     16252
      23     12865     16845
      24     13422     17434
      25     13980     18022
      26     14507     18581
      27     15044     19162
      28     15597     19751
      29     16117     20332
      30     16630     20833
      31     17174     21422
      32     17700     21946
      33     18235     22521
      34     18746     23046
      35     19243     23571
      36     19758     24078
      37     20226     24580
      38     20741     25088
      39     21170     25575
      40     21624     26050
      41     22050     26459
      42     22557     26960
      43     23063     27464
      44     23513     27958
      45     23975     28410
      46     24404     28873
      47     24811     29302
      48     25241     29730
      49     25714     30216
      50     26168     30697
      51     26608     31141
      52     27059     31607
      53     27475     32016
      54     27857     32424
      55     28308     32869
      56     28734     33325
      57     29151     33746
      58     29558     34164
      59     29986     34573
      60     30394     35004
      61     30744     35336
      62     31101     35722
      63     31524     36141
      64     31973     36600
      65     32401     37019
      66     32744     37370
      67     33129     37784
      68     33511     38170
      69     33832     38516
      70     34180     38901
      71     34556     39256
      72     34908     39574
      73     35238     39935
      74     35620     40313
      75     35936     40649
      76     36281     40992
      77     36668     41390
      78     37000     41727
      79     37383     42095
      80     37708     42441
      81     38071     42790
      82     38372     43101
      83     38692     43430
      84     38967     43712
      85     39268     44034
      86     39589     44319
      87     39886     44623
      88     40166     44929
      89     40496     45246
      90     40787     45542
      91     41110     45889
      92     41430     46204
      93     41769     46551
      94     42087     46865
      95     42390     47184
      96     42670     47469
      97     42938     47758
      98     43227     48043
      99     43543     48320
     100     43822     48618
     101     44131     48925
     102     44467     49263
     103     44771     49587
     104     45040     49836
     105     45286     50123
     106     45542     50347
     107     45850     50629
     108     46131     50946
     109     46389     51207
     110     46663     51506
     111     46911     51761
     112     47182     52027
     113     47444     52303
     114     47680     52533
     115     47884     52779
     116     48151     53055
     117     48438     53326
     118     48720     53559
     119     48979     53836
     120     49208     54079
     121     49453     54296
     122     49714     54587
     123     49932     54828
     124     50209     55086
     125     50416     55291
     126     50661     55558
     127     50955     55836
     128     51197     56087
     129     51460     56351
     130     51677     56560
     131     51874     56827
     132     52151     57080
     133     52391     57317
     134     52629     57516
     135     52849     57740
     136     53084     57995
     137     53333     58250
     138     53602     58535
     139     53850     58769
     140     54119     59042
     141     54374     59315
     142     54594     59552
     143     54873     59819
     144     55125     60066
     145     55331     60297
     146     55573     60533
     147     55783     60753
     148     56025     60985
     149     56218     61213
     150     56469     61415
     151     56702     61617
     152     56904     61844
     153     57102     62078
     154     57357     62334
     155     57558     62526
     156     57724     62706
     157     57956     62941
     158     58163     63130
     159     58399     63365
     160     58611     63577
     161     58831     63773
     162     59033     63988
     163     59217     64196
     164     59435     64423
     165     59681     64657
     166     59861     64888
     167     60100     65119
     168     60330     65322
     169     60544     65546
     170     60774     65751
     171     60918     65911
     172     61115     66137
     173     61281     66307
     174     61460     66502
     175     61624     66666
     176     61806     66839
     177     62000     67045
     178     62243     67248
     179     62410     67444
     180     62614     67632
     181     62811     67833
     182     62995     68013
     183     63197     68235
     184     63352     68387
     185     63506     68544
     186     63660     68703
     187     63836     68867
     188     64043     69042
     189     64212     69266
     190     64398     69450
     191     64578     69588
     192     64738     69772
     193     64901     69942
     194     65096     70136
     195     65235     70295
     196     65396     70465
     197     65540     70614
     198     65692     70759
     199     65848     70914
     200     66010     71105
     201     66191     71244
     202     66352     71421
     203     66507     71598
     204     66647     71746
     205     66821     71909
     206     66983     72057
     207     67145     72236
     208     67296     72376
     209     67440     72495
     210     67603     72687
     211     67788     72837
     212     67931     72994
     213     68049     73127
     214     68270     73383
     215     68451     73515
     216     68544     73611
     217     68694     73760
     218     68806     73907
     219     68991     74079
     220     69169     74258
     221     69315     74384
     222     69471     74568
     223     69575     74680
     224     69700     74800
     225     69854     74974
     226     70031     75130
     227     70186     75287
     228     70304     75436
     229     70526     75631
     230     70618     75763
     231     70760     75878
     232     70852     75995
     233     70987     76129
     234     71153     76305
     235     71287     76426
     236     71431     76544
     237     71570     76705
     238     71685     76857
     239     71861     76989
     240     71938     77054
     241     72107     77214
     242     72252     77338
     243     72375     77520
     244     72493     77661
     245     72641     77774
     246     72711     77857
     247     72874     78008
     248     72994     78120
     249     73172     78336
     250     73319     78450
     251     73433     78567
     252     73543     78685
     253     73648     78814
     254     73750     78908
     255     73887     79001
     256     74019     79184
     257     74148     79322
     258     74293     79465
     259     74412     79577
     260     74533     79666
     261     74659     79814
     262     74795     79929
     263     74931     80077
     264     75076     80233
     265     75172     80324
     266     75309     80438
     267     75439     80533
     268     75504     80645
     269     75614     80771
     270     75765     80905
     271     75863     80995
     272     76028     81185
     273     76195     81341
     274     76266     81438
     275     76376     81549
     276     76492     81686
     277     76592     81776
     278     76798     81980
     279     76927     82091
     280     77032     82191
     281     77161     82314
     282     77249     82405
     283     77349     82522
     284     77452     82626
     285     77558     82718
     286     77681     82869
     287     77812     83009
     288     77983     83146
     289     78080     83216
     290     78177     83348
     291     78260     83460
     292     78411     83609
     293     78556     83754
     294     78657     83834
     295     78759     83940
     296     78820     84021
     297     78913     84131
     298     78982     84173
     299     79038     84239
     300     79163     84366
     301     79301     84509
     302     79456     84668
     303     79576     84757
     304     79663     84866
     305     79789     84997
     306     79893     85107
     307     79999     85199
     308     80087     85298
     309     80223     85440
     310     80301     85493
     311     80432     85629
     312     80518     85702
     313     80622     85825
     314     80736     85909
     315     80801     86013
     316     80932     86146
     317     81030     86244
     318     81103     86336
     319     81199     86406
     320     81291     86527
     321     81374     86573
     322     81470     86684
     323     81569     86765
     324     81674     86865
     325     81796     87003
     326     81884     87096
     327     81937     87165
     328     82000     87261
     329     82121     87386
     330     82240     87453
     331     82312     87544
     332     82435     87646
     333     82493     87713
     334     82586     87823
     335     82638     87889
     336     82736     87986
     337     82855     88086
     338     82977     88187
     339     83043     88278
     340     83153     88388
     341     83230     88447
     342     83272     88488
     343     83386     88599
     344     83486     88734
     345     83541     88797
     346     83600     88834
     347     83665     88922
     348     83756     89003
     349     83859     89108
     350     83968     89226
     351     84039     89270
     352     84138     89353
     353     84167     89423
     354     84245     89509
     355     84315     89559
     356     84392     89648
     357     84499     89727
     358     84554     89803
     359     84677     89916
     360     84760     90002
     361     84801     90091
     362     84877     90124
     363     84995     90244
     364     85086     90321
     365     85153     90375
     366     85224     90461
     367     85274     90507
     368     85361     90606
     369     85438     90683
     370     85508     90753
     371     85620     90876
     372     85687     90930
     373     85707     90963
     374     85793     91068
     375     85894     91164
     376     85928     91177
     377     85979     91209
     378     86108     91346
     379     86203     91442
     380     86276     91557
     381     86348     91593
     382     86392     91622
     383     86446     91682
     384     86527     91776
     385     86593     91869
     386     86638     91930
     387     86722     91966
     388     86747     92006
     389     86843     92107
     390     86901     92192
     391     87000     92288
     392     87021     92330
     393     87046     92322
     394     87118     92380
     395     87217     92489
     396     87290     92548
     397     87357     92617
     398     87457     92723
     399     87548     92811
     400     87623     92894
     401     87726     92989
     402     87812     93088
     403     87873     93144
     404     87953     93221
     405     88012     93301
     406     88079     93370
     407     88113     93409
     408     88220     93524
     409     88270     93539
     410     88393     93670
     411     88447     93678
     412     88513     93793
     413     88596     93862
     414     88671     93932
     415     88746     94011
     416     88796     94081
     417     88908     94173
     418     88987     94272
     419     89061     94333
     420     89129     94412
     421     89206     94489
     422     89297     94604
     423     89362     94617
     424     89410     94655
     425     89479     94760
     426     89565     94818
     427     89607     94875
     428     89718     95005
     429     89724     95040
     430     89775     95074
     431     89823     95108
     432     89870     95159
     433     89975     95238
     434     90038     95324
     435     90099     95360
     436     90122     95418
     437     90230     95493
     438     90256     95548
     439     90314     95599
     440     90425     95709
     441     90462     95757
     442     90488     95814
     443     90535     95875
     444     90624     95955
     445     90719     96039
     446     90763     96057
     447     90816     96126
     448     90880     96143
     449     90915     96212
     450     90992     96277
     451     91066     96371
     452     91163     96470
     453     91216     96518
     454     91292     96610
     455     91361     96682
     456     91414     96731
     457     91473     96791
     458     91511     96840
     459     91597     96888
     460     91657     96965
     461     91756     97042
     462     91800     97080
     463     91823     97151
     464     91871     97164
     465     91934     97250
     466     91984     97305
     467     92063     97340
     468     92133     97424
     469     92150     97464
     470     92218     97529
     471     92270     97610
     472     92361     97705
     473     92456     97752
     474     92464     97761
     475     92525     97807
     476     92562     97872
     477     92617     97948
     478     92656     97940
     479     92746     98064
     480     92829     98148
     481     92873     98168
     482     92930     98279
     483     93002     98337
     484     93095     98439
     485     93138     98479
     486     93213     98531
     487     93287     98593
     488     93343     98658
     489     93401     98724
     490     93422     98710
     491     93422     98737
     492     93461     98708
     493     93503     98790
     494     93515     98825
     495     93595     98897
     496     93642     98985
     497     93728     99034
     498     93728     99048
     499     93811     99110
     500     93830     99140
     501     93860     99190
     502     93934     99264
     503     93961     99276
     504     94037     99316
     505     94092     99398
     506     94138     99477
     507     94155     99519
     508     94248     99579
     509     94255     99633
     510     94291     99631
     511     94365     99697
     512     94404     99733
     513     94477     99805
     514     94572     99889
     515     94622     99970
     516     94680    100035
     517     94749    100065
     518     94791    100114
     519     94850    100160
     520     94922    100224
     521     95000    100311
     522     95091    100387
     523     95148    100447
     524     95208    100521
     525     95228    100562
     526     95251    100588
     527     95343    100689
     528     95402    100726
     529     95453    100779
     530     95516    100869
     531     95524    100864
     532     95596    100905
     533     95601    100938
     534     95623    100925
     535     95663    100991
     536     95718    101054
     537     95794    101119
     538     95813    101142
     539     95862    101196
     540     95897    101218
     541     95947    101308
     542     95987    101308
     543     96006    101332
     544     96043    101376
     545     96041    101388
     546     96085    101434
     547     96139    101444
     548     96202    101510
     549     96273    101571
     550     96296    101626
     551     96379    101756
     552     96473    101839
     553     96510    101859
     554     96579    101953
     555     96574    101939
     556     96567    101914
     557     96586    101919
     558     96622    101975
     559     96687    102056
     560     96734    102100
     561     96753    102118
     562     96801    102152
     563     96871    102205
     564     96878    102223
     565     96922    102285
     566     96919    102290
